Location,Gender,Smoking Behavior,Smoking Percentage,Age,Smoking Duration,Cigarettes per day,Previous Quit Attempts,Craving Level,Stress Level,Physical Activity,Support System,Nicotine Dependence Score,Reason for Start Smoking,Quit Success
Hawaii,Male,Cessation (Youth),57.8,38,15,10,3,High,Low,Sedentary,None,7,Family Influence,No
Pennsylvania,Overall,Smokeless Tobacco Use (Youth),2.9,39,35,37,0,Low,Medium,Sedentary,Family & Friends,3,Family Influence,Yes
Arizona,Male,Cigarette Use (Youth),12.9,24,25,10,9,Low,High,Active,Professional Help,1,Peer Pressure,Yes
Michigan,Overall,Smokeless Tobacco Use (Youth),1.9,34,9,33,8,Medium,Low,Sedentary,None,8,Peer Pressure,No
Nebraska,Female,Cessation (Youth),61.7,19,17,25,3,High,Low,Moderate,None,8,Peer Pressure,No
Kentucky,Overall,Smokeless Tobacco Use (Youth),30.6,29,21,4,2,High,Medium,Moderate,Professional Help,1,Peer Pressure,Yes
South Carolina,Female,Smokeless Tobacco Use (Youth),3.3,59,13,5,2,Medium,Medium,Moderate,Family & Friends,9,Curiosity,No
Alabama,Overall,Cigarette Use (Youth),11.3,35,3,23,8,High,Low,Sedentary,Professional Help,3,Family Influence,Yes
West Virginia,Male,Cigarette Use (Youth),11.5,28,4,39,7,High,High,Moderate,Professional Help,0,Curiosity,Yes
Mississippi,Overall,Cigarette Use (Youth),3.0,33,4,5,9,Low,High,Moderate,None,5,Curiosity,No
Missouri,Overall,Cigarette Use (Youth),46.2,35,28,8,6,High,Medium,Moderate,Professional Help,0,Stress Relief,Yes
New Hampshire,Male,Smokeless Tobacco Use (Youth),0.1,52,7,17,6,Medium,Medium,Active,Family & Friends,6,Family Influence,No
Wisconsin,Male,Cessation (Youth),54.3,43,26,1,3,Low,Medium,Active,None,8,Family Influence,No
Kentucky,Male,Cessation (Youth),48.4,33,11,12,2,Medium,High,Moderate,Family & Friends,8,Family Influence,No
Mississippi,Female,Smokeless Tobacco Use (Youth),10.2,23,24,35,3,Medium,High,Moderate,Professional Help,1,Family Influence,Yes
Wisconsin,Male,Cigarette Use (Youth),2.2,59,10,14,5,High,Medium,Active,Professional Help,7,Peer Pressure,No
Georgia,Overall,Cigarette Use (Youth),43.8,29,37,18,3,High,Medium,Active,Family & Friends,2,Media Influence,Yes
Indiana,Male,Smokeless Tobacco Use (Youth),0.8,30,13,10,3,Low,Low,Sedentary,None,4,Stress Relief,No
South Dakota,Female,Smokeless Tobacco Use (Youth),0.1,21,39,15,1,Medium,Low,Active,Professional Help,3,Stress Relief,Yes
North Dakota,Female,Cigarette Use (Youth),27.4,56,19,33,6,Medium,Low,Moderate,Professional Help,5,Peer Pressure,No
New Jersey,Female,Cessation (Youth),54.4,19,19,19,5,High,Low,Active,Professional Help,6,Curiosity,No
Wisconsin,Male,Smokeless Tobacco Use (Youth),8.5,43,12,34,1,Medium,Medium,Moderate,None,8,Media Influence,No
Louisiana,Overall,Smokeless Tobacco Use (Youth),20.4,44,22,25,4,Medium,High,Sedentary,None,9,Stress Relief,No
Alabama,Male,Cigarette Use (Youth),10.2,44,37,16,5,Medium,High,Active,Professional Help,4,Curiosity,Yes
Arizona,Overall,Cessation (Youth),48.8,32,30,8,4,Medium,Low,Sedentary,None,1,Family Influence,No
Mississippi,Male,Cessation (Youth),56.6,25,12,35,3,Medium,High,Moderate,Family & Friends,3,Media Influence,Yes
Georgia,Overall,Smokeless Tobacco Use (Youth),3.0,24,29,21,8,Low,Low,Moderate,Professional Help,1,Media Influence,Yes
Pennsylvania,Overall,Cigarette Use (Youth),25.3,57,21,19,2,Medium,Medium,Moderate,Family & Friends,0,Family Influence,Yes
Louisiana,Female,Smokeless Tobacco Use (Youth),7.7,29,11,11,1,Medium,Low,Moderate,None,1,Stress Relief,No
South Dakota,Female,Cigarette Use (Youth),11.2,30,37,11,8,Low,High,Sedentary,None,6,Media Influence,No
Kentucky,Female,Smokeless Tobacco Use (Youth),3.2,34,18,11,7,High,High,Active,Family & Friends,1,Peer Pressure,Yes
Delaware,Male,Cigarette Use (Youth),1.5,34,27,22,8,High,High,Active,None,3,Peer Pressure,No
Hawaii,Male,Cigarette Use (Youth),15.0,53,37,21,9,Low,Medium,Moderate,Professional Help,4,Peer Pressure,Yes
Nebraska,Female,Cigarette Use (Youth),28.7,38,12,27,2,Low,Low,Moderate,Family & Friends,2,Media Influence,Yes
New Jersey,Female,Cessation (Youth),61.0,25,23,18,0,High,Medium,Sedentary,Family & Friends,3,Stress Relief,Yes
Ohio,Male,Smokeless Tobacco Use (Youth),8.2,22,34,38,0,Medium,Medium,Sedentary,Professional Help,9,Curiosity,No
Arizona,Female,Cigarette Use (Youth),11.3,43,38,30,2,Medium,Low,Moderate,None,2,Stress Relief,No
Indiana,Female,Cigarette Use (Youth),52.1,33,23,33,3,Low,High,Moderate,Family & Friends,7,Curiosity,No
Hawaii,Male,Cessation (Youth),63.6,53,25,21,1,Medium,High,Active,Family & Friends,9,Media Influence,No
Arizona,Overall,Cigarette Use (Youth),37.7,45,4,2,7,Low,High,Active,Professional Help,7,Family Influence,No
Indiana,Male,Cessation (Youth),55.3,46,30,13,2,High,High,Active,None,2,Curiosity,No
Mississippi,Female,Cigarette Use (Youth),26.2,29,30,2,3,Medium,Medium,Moderate,Family & Friends,8,Curiosity,No
South Carolina,Overall,Smokeless Tobacco Use (Youth),3.0,54,13,31,5,High,Low,Sedentary,None,8,Stress Relief,No
South Carolina,Female,Cigarette Use (Youth),1.7,47,14,10,9,Medium,Low,Sedentary,Family & Friends,6,Media Influence,No
Alabama,Male,Cessation (Youth),50.7,40,8,23,5,Medium,Low,Sedentary,None,0,Stress Relief,No
Connecticut,Female,Smokeless Tobacco Use (Youth),1.4,33,24,22,1,Medium,Medium,Moderate,Family & Friends,9,Media Influence,No
Arkansas,Overall,Smokeless Tobacco Use (Youth),2.0,31,18,29,5,Low,High,Moderate,None,2,Curiosity,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),13.5,27,35,33,3,High,High,Sedentary,None,7,Family Influence,No
Louisiana,Overall,Cessation (Youth),38.3,24,25,31,4,Low,Low,Sedentary,Family & Friends,5,Media Influence,No
Michigan,Female,Cigarette Use (Youth),24.4,54,17,14,6,Low,High,Sedentary,None,8,Curiosity,No
Missouri,Overall,Cigarette Use (Youth),9.4,46,32,10,6,High,Medium,Moderate,None,9,Family Influence,No
South Carolina,Male,Cessation (Youth),40.7,20,24,18,5,High,High,Active,Professional Help,8,Stress Relief,No
Delaware,Overall,Smokeless Tobacco Use (Youth),4.7,32,7,11,9,Low,High,Active,Professional Help,0,Stress Relief,Yes
Iowa,Male,Cigarette Use (Youth),24.6,53,13,39,5,Low,High,Moderate,Professional Help,5,Media Influence,No
Maryland,Female,Smokeless Tobacco Use (Youth),1.2,36,27,3,5,Low,Low,Active,Professional Help,2,Media Influence,Yes
Oklahoma,Overall,Smokeless Tobacco Use (Youth),0.6,30,5,2,3,High,Medium,Sedentary,None,4,Media Influence,No
South Dakota,Male,Cigarette Use (Youth),21.6,59,36,8,2,Low,Low,Active,Family & Friends,0,Stress Relief,Yes
Missouri,Overall,Smokeless Tobacco Use (Youth),9.3,38,26,31,0,High,Medium,Sedentary,Family & Friends,6,Media Influence,No
Kentucky,Female,Smokeless Tobacco Use (Youth),0.5,54,31,8,2,Low,Low,Moderate,Professional Help,5,Curiosity,No
Arizona,Overall,Smokeless Tobacco Use (Youth),0.3,44,10,2,2,High,Medium,Moderate,Family & Friends,9,Peer Pressure,No
South Carolina,Overall,Cigarette Use (Youth),23.7,46,26,22,8,Low,Medium,Sedentary,Family & Friends,4,Peer Pressure,Yes
Oklahoma,Female,Smokeless Tobacco Use (Youth),11.7,37,22,5,2,Medium,Low,Sedentary,None,1,Media Influence,No
Arizona,Female,Cigarette Use (Youth),30.1,42,12,7,7,Medium,Low,Active,None,7,Curiosity,No
Oklahoma,Female,Cigarette Use (Youth),22.5,23,32,20,7,High,High,Sedentary,Family & Friends,4,Curiosity,Yes
Wisconsin,Overall,Smokeless Tobacco Use (Youth),2.5,53,27,28,2,High,Medium,Moderate,None,1,Curiosity,No
West Virginia,Male,Cessation (Youth),35.4,19,33,13,9,Medium,Medium,Moderate,Professional Help,3,Family Influence,Yes
Indiana,Male,Cessation (Youth),45.7,39,20,2,9,High,Medium,Active,Professional Help,9,Curiosity,No
Pennsylvania,Male,Cigarette Use (Youth),14.1,49,39,32,5,High,Medium,Sedentary,Family & Friends,7,Stress Relief,No
Utah,Overall,Cigarette Use (Youth),23.1,33,13,26,7,Medium,Medium,Sedentary,Family & Friends,7,Stress Relief,No
West Virginia,Female,Cigarette Use (Youth),19.5,35,14,3,7,Low,High,Active,Professional Help,2,Curiosity,Yes
North Dakota,Overall,Cessation (Youth),66.2,22,22,13,9,High,High,Moderate,Family & Friends,9,Peer Pressure,No
Arizona,Overall,Cigarette Use (Youth),11.4,53,18,21,9,High,High,Sedentary,Family & Friends,7,Family Influence,No
South Carolina,Male,Cessation (Youth),45.3,47,29,37,8,Low,Medium,Active,None,9,Stress Relief,No
Connecticut,Overall,Smokeless Tobacco Use (Youth),7.7,36,16,23,8,Low,Low,Active,None,8,Stress Relief,No
Hawaii,Female,Smokeless Tobacco Use (Youth),6.6,40,35,7,7,High,Low,Active,Professional Help,1,Stress Relief,Yes
Pennsylvania,Overall,Cessation (Youth),41.1,51,34,17,6,High,Medium,Active,Professional Help,5,Family Influence,No
Oklahoma,Male,Cessation (Youth),40.6,30,3,28,9,Low,High,Sedentary,Professional Help,2,Curiosity,Yes
North Dakota,Male,Cigarette Use (Youth),3.1,46,4,30,2,High,Low,Active,Professional Help,4,Family Influence,Yes
Oklahoma,Female,Smokeless Tobacco Use (Youth),15.9,53,5,5,6,Low,Low,Sedentary,Professional Help,3,Curiosity,Yes
Maryland,Female,Cigarette Use (Youth),21.1,39,10,24,3,Low,High,Moderate,None,7,Media Influence,No
Indiana,Overall,Smokeless Tobacco Use (Youth),6.0,53,29,7,1,High,Medium,Active,Family & Friends,6,Stress Relief,No
Ohio,Male,Cigarette Use (Youth),1.0,26,32,34,7,High,Medium,Active,Professional Help,6,Peer Pressure,No
Maryland,Male,Cigarette Use (Youth),5.4,56,31,33,1,Low,Medium,Moderate,Professional Help,0,Family Influence,Yes
North Dakota,Female,Cigarette Use (Youth),16.7,36,2,27,0,High,Medium,Active,None,5,Family Influence,No
North Carolina,Male,Cigarette Use (Youth),15.7,55,12,14,4,Low,Medium,Sedentary,None,1,Stress Relief,No
Delaware,Overall,Cigarette Use (Youth),7.1,23,27,19,9,Medium,Low,Moderate,None,7,Stress Relief,No
Arkansas,Female,Smokeless Tobacco Use (Youth),10.7,32,5,38,8,Medium,High,Moderate,None,5,Peer Pressure,No
Alabama,Male,Cessation (Youth),48.7,37,37,12,4,Low,Low,Sedentary,Family & Friends,8,Peer Pressure,No
New Jersey,Overall,Cigarette Use (Youth),2.6,26,27,3,1,Low,Low,Sedentary,Family & Friends,9,Stress Relief,No
Missouri,Male,Smokeless Tobacco Use (Youth),5.3,49,23,7,9,High,Low,Moderate,None,0,Curiosity,No
Mississippi,Female,Cigarette Use (Youth),17.8,21,33,35,3,Low,High,Active,None,7,Stress Relief,No
Indiana,Female,Smokeless Tobacco Use (Youth),4.9,35,4,25,7,Low,Low,Sedentary,Professional Help,1,Peer Pressure,Yes
Kansas,Female,Cessation (Youth),52.9,22,21,15,6,High,Low,Sedentary,Family & Friends,6,Stress Relief,No
West Virginia,Overall,Cessation (Youth),56.7,37,24,19,4,High,Medium,Sedentary,Professional Help,2,Peer Pressure,Yes
Wisconsin,Overall,Cigarette Use (Youth),6.6,40,31,19,3,Medium,High,Moderate,None,6,Media Influence,No
Mississippi,Female,Cigarette Use (Youth),15.0,28,24,23,4,Low,Medium,Active,Professional Help,0,Curiosity,Yes
Wisconsin,Overall,Smokeless Tobacco Use (Youth),3.6,54,10,11,6,Low,Medium,Sedentary,None,9,Peer Pressure,No
Wisconsin,Overall,Smokeless Tobacco Use (Youth),0.2,39,2,21,4,Medium,Low,Moderate,Family & Friends,8,Family Influence,No
Alabama,Male,Cessation (Youth),57.6,21,31,34,7,Low,Medium,Moderate,Professional Help,5,Family Influence,No
Tennessee,Overall,Smokeless Tobacco Use (Youth),5.9,46,25,39,6,High,Low,Active,Professional Help,6,Curiosity,No
Wisconsin,Male,Smokeless Tobacco Use (Youth),13.2,51,4,7,6,Low,Medium,Moderate,Professional Help,8,Curiosity,No
Vermont,Male,Cigarette Use (Youth),21.4,30,11,27,8,High,High,Moderate,Family & Friends,9,Family Influence,No
Connecticut,Female,Cigarette Use (Youth),24.3,59,17,23,7,Low,High,Sedentary,Family & Friends,0,Media Influence,Yes
District of Columbia,Female,Smokeless Tobacco Use (Youth),7.2,26,2,38,7,Medium,Medium,Sedentary,Professional Help,7,Media Influence,No
South Dakota,Male,Cessation (Youth),54.1,59,6,20,5,High,Low,Sedentary,Professional Help,6,Peer Pressure,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),0.7,48,9,27,6,High,Low,Moderate,Professional Help,1,Curiosity,Yes
California,Female,Cessation (Youth),66.2,24,5,8,7,Medium,Low,Active,None,0,Family Influence,No
Illinois,Female,Smokeless Tobacco Use (Youth),10.8,21,20,37,4,High,Medium,Active,None,9,Curiosity,No
Wisconsin,Male,Cessation (Youth),47.9,36,29,3,9,Medium,Low,Active,None,0,Family Influence,No
North Carolina,Overall,Smokeless Tobacco Use (Youth),13.0,59,21,2,1,Low,Medium,Moderate,Family & Friends,3,Family Influence,Yes
Illinois,Male,Cigarette Use (Youth),32.7,47,9,22,6,Medium,High,Sedentary,Professional Help,4,Peer Pressure,Yes
South Carolina,Male,Smokeless Tobacco Use (Youth),17.2,48,28,6,9,Low,Low,Moderate,None,6,Curiosity,No
Hawaii,Overall,Smokeless Tobacco Use (Youth),1.8,52,8,39,2,High,Medium,Sedentary,Professional Help,7,Media Influence,No
Iowa,Overall,Smokeless Tobacco Use (Youth),0.3,38,31,36,9,High,Low,Moderate,Family & Friends,1,Curiosity,Yes
Georgia,Overall,Smokeless Tobacco Use (Youth),5.6,48,20,24,7,Medium,Medium,Moderate,None,8,Family Influence,No
Michigan,Female,Smokeless Tobacco Use (Youth),8.5,36,27,12,5,Low,Low,Active,Professional Help,6,Media Influence,No
Virginia,Female,Smokeless Tobacco Use (Youth),4.1,48,8,17,3,Medium,High,Moderate,Family & Friends,5,Family Influence,No
West Virginia,Male,Cessation (Youth),49.9,49,21,22,1,High,Medium,Active,Family & Friends,7,Curiosity,No
Illinois,Overall,Smokeless Tobacco Use (Youth),5.5,19,28,19,6,High,Medium,Moderate,None,1,Family Influence,No
Indiana,Female,Smokeless Tobacco Use (Youth),0.2,27,23,9,0,Low,High,Active,Family & Friends,0,Stress Relief,Yes
Connecticut,Overall,Cigarette Use (Youth),45.5,19,6,12,6,Low,High,Moderate,Family & Friends,4,Media Influence,Yes
Alabama,Female,Cigarette Use (Youth),27.8,19,3,32,9,High,Low,Moderate,None,8,Peer Pressure,No
Mississippi,Overall,Smokeless Tobacco Use (Youth),19.1,41,5,31,9,High,Medium,Sedentary,Professional Help,6,Stress Relief,No
North Dakota,Overall,Smokeless Tobacco Use (Youth),0.4,34,9,17,6,Low,Medium,Sedentary,Family & Friends,6,Family Influence,No
Arkansas,Female,Smokeless Tobacco Use (Youth),0.5,49,7,23,9,Medium,Low,Sedentary,Professional Help,8,Curiosity,No
Missouri,Overall,Smokeless Tobacco Use (Youth),11.3,33,4,10,2,Medium,Low,Moderate,Professional Help,4,Family Influence,Yes
Massachusetts,Female,Smokeless Tobacco Use (Youth),0.2,33,39,30,3,Low,Medium,Sedentary,Professional Help,4,Peer Pressure,Yes
Wisconsin,Male,Cigarette Use (Youth),22.7,56,5,19,3,Low,High,Sedentary,None,6,Curiosity,No
Michigan,Female,Smokeless Tobacco Use (Youth),8.5,48,11,26,3,Low,Low,Moderate,Family & Friends,5,Media Influence,No
Tennessee,Female,Cigarette Use (Youth),19.9,41,15,26,8,High,Medium,Moderate,None,9,Media Influence,No
Vermont,Male,Smokeless Tobacco Use (Youth),10.2,18,34,11,5,Medium,Low,Sedentary,Professional Help,5,Family Influence,No
Mississippi,Male,Cigarette Use (Youth),23.7,28,13,20,9,Low,High,Sedentary,Family & Friends,7,Stress Relief,No
Kentucky,Overall,Smokeless Tobacco Use (Youth),16.8,38,7,4,8,Medium,Medium,Moderate,Professional Help,3,Curiosity,Yes
Kansas,Female,Smokeless Tobacco Use (Youth),1.0,21,6,12,3,High,Medium,Moderate,Professional Help,1,Stress Relief,Yes
Rhode Island,Male,Cessation (Youth),53.6,24,39,25,6,High,Medium,Active,None,2,Family Influence,No
Connecticut,Overall,Cigarette Use (Youth),9.6,43,30,10,9,Low,High,Active,None,9,Curiosity,No
Utah,Male,Smokeless Tobacco Use (Youth),0.9,29,22,22,8,Low,Low,Moderate,Family & Friends,3,Media Influence,Yes
South Carolina,Overall,Cigarette Use (Youth),1.6,48,25,7,9,Low,High,Moderate,Family & Friends,4,Media Influence,Yes
Mississippi,Female,Cessation (Youth),51.5,34,28,24,2,Low,High,Sedentary,Professional Help,1,Family Influence,Yes
Delaware,Male,Cessation (Youth),64.1,50,20,2,2,Medium,High,Active,Professional Help,7,Curiosity,No
Louisiana,Male,Smokeless Tobacco Use (Youth),11.5,28,39,32,5,Low,Medium,Sedentary,Professional Help,4,Family Influence,Yes
Michigan,Overall,Cessation (Youth),55.7,45,3,21,7,Medium,High,Active,None,6,Media Influence,No
Arizona,Overall,Smokeless Tobacco Use (Youth),0.8,49,5,7,0,High,Medium,Sedentary,Family & Friends,8,Peer Pressure,No
Illinois,Male,Smokeless Tobacco Use (Youth),26.6,18,1,8,3,High,Medium,Active,None,6,Stress Relief,No
New Jersey,Overall,Cessation (Youth),51.5,45,15,38,7,Medium,Low,Moderate,None,3,Family Influence,No
Tennessee,Overall,Cigarette Use (Youth),27.5,59,26,21,5,Medium,Low,Moderate,Professional Help,2,Peer Pressure,Yes
District of Columbia,Overall,Cessation (Youth),55.9,24,3,8,1,Low,High,Moderate,Professional Help,7,Media Influence,No
Oklahoma,Male,Cessation (Youth),57.2,19,34,25,7,Low,Medium,Sedentary,Professional Help,8,Family Influence,No
South Dakota,Female,Smokeless Tobacco Use (Youth),0.7,59,5,28,0,Low,Medium,Active,None,4,Media Influence,No
North Dakota,Overall,Smokeless Tobacco Use (Youth),16.3,41,31,28,0,High,Low,Sedentary,Professional Help,5,Media Influence,No
North Carolina,Male,Smokeless Tobacco Use (Youth),8.3,21,13,31,6,Medium,Medium,Moderate,None,9,Family Influence,No
Oklahoma,Overall,Smokeless Tobacco Use (Youth),1.5,36,1,36,9,Medium,High,Active,None,9,Peer Pressure,No
South Carolina,Male,Smokeless Tobacco Use (Youth),2.0,43,22,25,2,Medium,Medium,Active,None,5,Family Influence,No
Alabama,Male,Smokeless Tobacco Use (Youth),35.4,28,15,37,7,Medium,High,Sedentary,Family & Friends,2,Media Influence,Yes
North Dakota,Overall,Cigarette Use (Youth),1.9,57,26,38,8,Low,Low,Moderate,None,3,Curiosity,No
North Dakota,Female,Smokeless Tobacco Use (Youth),13.4,28,18,12,7,Low,Low,Sedentary,Professional Help,8,Media Influence,No
Louisiana,Female,Cigarette Use (Youth),50.4,20,9,37,0,Medium,Medium,Sedentary,Professional Help,5,Family Influence,No
New Jersey,Male,Cigarette Use (Youth),3.5,29,1,37,0,Low,Medium,Moderate,Family & Friends,4,Peer Pressure,Yes
Alabama,Female,Cigarette Use (Youth),1.7,20,9,31,5,High,Low,Moderate,Professional Help,8,Media Influence,No
Delaware,Male,Smokeless Tobacco Use (Youth),0.8,59,23,18,0,Low,High,Sedentary,Professional Help,7,Peer Pressure,No
Delaware,Female,Cigarette Use (Youth),67.1,44,2,26,7,High,High,Active,Professional Help,8,Peer Pressure,No
Louisiana,Female,Cigarette Use (Youth),8.8,19,14,6,5,High,High,Moderate,Family & Friends,8,Stress Relief,No
Nebraska,Overall,Cigarette Use (Youth),29.0,33,38,9,4,Medium,Low,Moderate,None,3,Peer Pressure,No
Missouri,Overall,Cessation (Youth),70.3,19,18,11,5,Medium,Low,Moderate,Family & Friends,7,Media Influence,No
Arizona,Female,Cessation (Youth),44.6,47,16,31,3,Low,Low,Moderate,Family & Friends,9,Media Influence,No
Alabama,Overall,Smokeless Tobacco Use (Youth),8.6,37,29,2,0,Medium,Medium,Active,Professional Help,8,Family Influence,No
Arizona,Male,Cessation (Youth),43.2,55,11,29,6,High,Low,Active,Professional Help,4,Family Influence,Yes
West Virginia,Male,Cessation (Youth),43.2,45,6,5,9,High,High,Sedentary,Family & Friends,3,Peer Pressure,Yes
Maryland,Female,Cessation (Youth),58.5,42,3,23,8,Low,High,Sedentary,None,9,Curiosity,No
North Dakota,Male,Smokeless Tobacco Use (Youth),34.8,49,14,36,3,High,Low,Moderate,Family & Friends,0,Media Influence,Yes
South Carolina,Female,Smokeless Tobacco Use (Youth),12.6,27,2,7,3,Medium,Low,Sedentary,None,2,Peer Pressure,No
Connecticut,Male,Smokeless Tobacco Use (Youth),23.1,59,32,13,8,Low,High,Active,Professional Help,9,Family Influence,No
Mississippi,Overall,Cigarette Use (Youth),7.2,57,31,10,3,Low,Low,Moderate,Family & Friends,1,Media Influence,Yes
Oklahoma,Overall,Cigarette Use (Youth),27.0,50,11,36,9,Low,Medium,Moderate,None,6,Stress Relief,No
Oklahoma,Overall,Cigarette Use (Youth),46.2,30,22,16,3,Medium,Low,Moderate,Family & Friends,3,Family Influence,Yes
Oklahoma,Female,Smokeless Tobacco Use (Youth),0.4,58,3,15,7,High,High,Sedentary,Family & Friends,8,Stress Relief,No
Wisconsin,Female,Cessation (Youth),70.0,59,31,19,3,Medium,High,Moderate,Professional Help,8,Media Influence,No
West Virginia,Female,Smokeless Tobacco Use (Youth),7.0,54,33,21,8,Low,Low,Moderate,None,1,Curiosity,No
West Virginia,Female,Smokeless Tobacco Use (Youth),2.6,33,24,35,7,High,High,Active,None,2,Peer Pressure,No
South Carolina,Overall,Cigarette Use (Youth),53.9,39,1,15,4,Low,Low,Moderate,None,7,Peer Pressure,No
Georgia,Overall,Smokeless Tobacco Use (Youth),8.4,37,15,14,8,Medium,High,Sedentary,None,9,Curiosity,No
Delaware,Overall,Smokeless Tobacco Use (Youth),4.6,44,37,29,7,Low,High,Moderate,None,2,Peer Pressure,No
Arkansas,Female,Cigarette Use (Youth),24.0,58,27,5,9,Medium,High,Sedentary,Professional Help,3,Peer Pressure,Yes
South Carolina,Overall,Cigarette Use (Youth),22.7,33,38,18,3,Low,Low,Active,Family & Friends,2,Stress Relief,Yes
Wisconsin,Overall,Cessation (Youth),52.7,51,27,1,3,Low,Low,Active,Professional Help,1,Peer Pressure,Yes
Mississippi,Overall,Cessation (Youth),57.7,49,12,27,0,Low,Low,Moderate,Family & Friends,0,Stress Relief,Yes
Colorado,Overall,Cigarette Use (Youth),61.6,43,3,27,3,Medium,Medium,Active,None,2,Peer Pressure,No
Virginia,Female,Cigarette Use (Youth),16.3,42,30,25,7,Medium,Medium,Moderate,Professional Help,8,Peer Pressure,No
South Dakota,Male,Cigarette Use (Youth),14.5,19,32,21,4,Medium,Medium,Active,Family & Friends,7,Family Influence,No
Illinois,Overall,Cigarette Use (Youth),28.1,29,23,14,5,Medium,High,Active,Family & Friends,8,Curiosity,No
Ohio,Overall,Smokeless Tobacco Use (Youth),11.8,57,2,20,3,Medium,High,Sedentary,Family & Friends,9,Family Influence,No
New Jersey,Female,Cessation (Youth),53.0,26,7,28,4,High,Low,Sedentary,None,4,Peer Pressure,No
Indiana,Male,Cessation (Youth),60.2,29,34,21,9,Low,High,Moderate,Professional Help,4,Stress Relief,Yes
Delaware,Overall,Cessation (Youth),54.6,43,32,23,7,Medium,Medium,Moderate,Family & Friends,7,Peer Pressure,No
Iowa,Overall,Smokeless Tobacco Use (Youth),10.7,26,39,11,8,High,Medium,Sedentary,None,4,Media Influence,No
Arizona,Male,Cigarette Use (Youth),19.7,27,32,2,2,High,Low,Active,Professional Help,3,Media Influence,Yes
Pennsylvania,Female,Smokeless Tobacco Use (Youth),6.5,49,14,20,9,Low,High,Moderate,Family & Friends,8,Media Influence,No
New Jersey,Female,Smokeless Tobacco Use (Youth),2.0,51,3,24,3,Low,High,Active,None,0,Media Influence,No
Louisiana,Overall,Cigarette Use (Youth),24.7,37,32,25,0,Low,Medium,Sedentary,Family & Friends,5,Peer Pressure,No
Alabama,Overall,Smokeless Tobacco Use (Youth),12.1,56,36,37,4,Medium,Low,Active,None,6,Media Influence,No
Wisconsin,Female,Cigarette Use (Youth),17.9,19,17,22,3,Low,Medium,Active,Professional Help,5,Curiosity,No
Nebraska,Female,Smokeless Tobacco Use (Youth),9.8,18,3,24,5,Low,High,Moderate,Family & Friends,9,Peer Pressure,No
New Jersey,Female,Cigarette Use (Youth),2.0,53,10,15,5,Low,Medium,Active,None,7,Family Influence,No
Kansas,Male,Smokeless Tobacco Use (Youth),6.3,41,18,12,9,High,Medium,Sedentary,None,7,Peer Pressure,No
Mississippi,Male,Cigarette Use (Youth),27.9,44,3,31,5,Medium,High,Active,None,4,Stress Relief,No
California,Overall,Smokeless Tobacco Use (Youth),3.3,19,39,31,2,Low,High,Sedentary,Professional Help,3,Curiosity,Yes
Kentucky,Overall,Smokeless Tobacco Use (Youth),14.1,48,10,30,6,High,High,Sedentary,None,6,Peer Pressure,No
Indiana,Overall,Cigarette Use (Youth),52.7,31,9,20,2,Medium,Medium,Moderate,Family & Friends,8,Family Influence,No
Illinois,Male,Cessation (Youth),44.5,19,11,8,5,Low,Medium,Sedentary,Professional Help,1,Stress Relief,Yes
Florida,Overall,Cessation (Youth),56.6,46,33,30,9,High,Medium,Sedentary,Family & Friends,6,Stress Relief,No
Wisconsin,Male,Cigarette Use (Youth),1.3,32,36,35,0,Medium,Low,Moderate,None,5,Family Influence,No
Oklahoma,Male,Cessation (Youth),47.4,29,26,21,7,Low,Low,Moderate,None,2,Family Influence,No
Minnesota,Female,Smokeless Tobacco Use (Youth),0.5,54,27,28,6,Low,High,Moderate,Family & Friends,1,Family Influence,Yes
Illinois,Male,Cigarette Use (Youth),29.5,45,38,39,8,High,Low,Sedentary,Family & Friends,0,Family Influence,Yes
North Dakota,Female,Smokeless Tobacco Use (Youth),16.0,37,22,17,2,Low,High,Moderate,Professional Help,1,Media Influence,Yes
North Carolina,Female,Cessation (Youth),51.9,56,26,12,7,High,Medium,Sedentary,None,4,Curiosity,No
Hawaii,Male,Smokeless Tobacco Use (Youth),2.1,41,22,18,1,High,High,Sedentary,Professional Help,0,Family Influence,Yes
Utah,Female,Smokeless Tobacco Use (Youth),5.4,38,5,28,8,High,Medium,Sedentary,None,7,Media Influence,No
West Virginia,Male,Smokeless Tobacco Use (Youth),30.0,27,35,3,0,Medium,High,Moderate,Family & Friends,3,Peer Pressure,Yes
Hawaii,Female,Cessation (Youth),75.3,31,2,15,9,High,Low,Sedentary,Professional Help,2,Stress Relief,Yes
Mississippi,Male,Cigarette Use (Youth),19.0,54,35,16,6,Medium,Medium,Sedentary,None,9,Peer Pressure,No
District of Columbia,Overall,Cessation (Youth),56.0,35,9,22,9,Low,Medium,Moderate,Family & Friends,1,Peer Pressure,Yes
Florida,Overall,Smokeless Tobacco Use (Youth),5.9,41,18,31,0,Medium,Medium,Moderate,Professional Help,0,Media Influence,Yes
Georgia,Female,Smokeless Tobacco Use (Youth),8.6,31,12,31,5,High,Low,Sedentary,Professional Help,7,Media Influence,No
Alabama,Male,Cigarette Use (Youth),38.3,51,3,1,0,Low,Low,Sedentary,Professional Help,8,Family Influence,No
